Emotion,Path
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
neutral,dataset/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
happy,dataset/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
happy,dataset/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
happy,dataset/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
happy,dataset/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
happy,dataset/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
happy,dataset/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
happy,dataset/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
happy,dataset/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
sad,dataset/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
sad,dataset/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
sad,dataset/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
sad,dataset/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
sad,dataset/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
sad,dataset/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
sad,dataset/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
sad,dataset/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
angry,dataset/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
angry,dataset/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
angry,dataset/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
